id,name,abbreviation,location,conference
2000,Abilene Christian Wildcats,ACU,Abilene Christian,
2005,Air Force Falcons,AFA,Air Force,
2006,Akron Zips,AKR,Akron,
2010,Alabama A&M Bulldogs,AAMU,Alabama A&M,
333,Alabama Crimson Tide,ALA,Alabama,
2011,Alabama State Hornets,ALST,Alabama State,
2016,Alcorn State Braves,ALCN,Alcorn State,
44,American University Eagles,AMER,American University,
2026,App State Mountaineers,APP,App State,
9,Arizona State Sun Devils,ASU,Arizona State,
12,Arizona Wildcats,ARIZ,Arizona,
8,Arkansas Razorbacks,ARK,Arkansas,
2032,Arkansas State Red Wolves,ARST,Arkansas State,
2029,Arkansas-Pine Bluff Golden Lions,UAPB,Arkansas-Pine Bluff,
349,Army Black Knights,ARMY,Army,
2,Auburn Tigers,AUB,Auburn,
2046,Austin Peay Governors,APSU,Austin Peay,
252,BYU Cougars,BYU,BYU,
2050,Ball State Cardinals,BALL,Ball State,
239,Baylor Bears,BAY,Baylor,
91,Bellarmine Knights,BELL,Bellarmine,
2057,Belmont Bruins,BEL,Belmont,
2065,Bethune-Cookman Wildcats,BCU,Bethune-Cookman,
2066,Binghamton Bearcats,BING,Binghamton,
68,Boise State Broncos,BOIS,Boise State,
103,Boston College Eagles,BC,Boston College,
104,Boston University Terriers,BU,Boston University,
189,Bowling Green Falcons,BGSU,Bowling Green,
71,Bradley Braves,BRAD,Bradley,
225,Brown Bears,BRWN,Brown,
2803,Bryant Bulldogs,BRY,Bryant,
2083,Bucknell Bison,BUCK,Bucknell,
2084,Buffalo Bulls,BUF,Buffalo,
2086,Butler Bulldogs,BUT,Butler,
13,Cal Poly Mustangs,CP,Cal Poly,
2934,Cal State Bakersfield Roadrunners,CSUB,Cal State Bakersfield,
2239,Cal State Fullerton Titans,CSUF,Cal State Fullerton,
2463,Cal State Northridge Matadors,CSUN,Cal State Northridge,
2856,California Baptist Lancers,CBU,California Baptist,
25,California Golden Bears,CAL,California,
2097,Campbell Fighting Camels,CAM,Campbell,
2099,Canisius Golden Griffins,CAN,Canisius,
2110,Central Arkansas Bears,CARK,Central Arkansas,
2115,Central Connecticut Blue Devils,CCSU,Central Connecticut,
2117,Central Michigan Chippewas,CMU,Central Michigan,
232,Charleston Cougars,COFC,Charleston,
2127,Charleston Southern Buccaneers,CHSO,Charleston Southern,
2429,Charlotte 49ers,CLT,Charlotte,
236,Chattanooga Mocs,UTC,Chattanooga,
2130,Chicago State Cougars,CHST,Chicago State,
2132,Cincinnati Bearcats,CIN,Cincinnati,
228,Clemson Tigers,CLEM,Clemson,
325,Cleveland State Vikings,CLE,Cleveland State,
324,Coastal Carolina Chanticleers,CCU,Coastal Carolina,
2142,Colgate Raiders,COLG,Colgate,
38,Colorado Buffaloes,COLO,Colorado,
36,Colorado State Rams,CSU,Colorado State,
171,Columbia Lions,COLU,Columbia,
2154,Coppin State Eagles,COPP,Coppin State,
172,Cornell Big Red,COR,Cornell,
156,Creighton Bluejays,CREI,Creighton,
159,Dartmouth Big Green,DART,Dartmouth,
2166,Davidson Wildcats,DAV,Davidson,
2168,Dayton Flyers,DAY,Dayton,
305,DePaul Blue Demons,DEP,DePaul,
48,Delaware Blue Hens,DEL,Delaware,
2169,Delaware State Hornets,DSU,Delaware State,
2172,Denver Pioneers,DEN,Denver,
2174,Detroit Mercy Titans,DETM,Detroit Mercy,
2181,Drake Bulldogs,DRKE,Drake,
2182,Drexel Dragons,DREX,Drexel,
150,Duke Blue Devils,DUKE,Duke,
2184,Duquesne Dukes,DUQ,Duquesne,
151,East Carolina Pirates,ECU,East Carolina,
2193,East Tennessee State Buccaneers,ETSU,East Tennessee State,
2837,East Texas A&M Lions,ETAM,East Texas A&M,
2197,Eastern Illinois Panthers,EIU,Eastern Illinois,
2198,Eastern Kentucky Colonels,EKU,Eastern Kentucky,
2199,Eastern Michigan Eagles,EMU,Eastern Michigan,
331,Eastern Washington Eagles,EWU,Eastern Washington,
2210,Elon Phoenix,ELON,Elon,
339,Evansville Purple Aces,EVAN,Evansville,
2217,Fairfield Stags,FAIR,Fairfield,
161,Fairleigh Dickinson Knights,FDU,Fairleigh Dickinson,
50,Florida A&M Rattlers,FAMU,Florida A&M,
2226,Florida Atlantic Owls,FAU,Florida Atlantic,
57,Florida Gators,FLA,Florida,
526,Florida Gulf Coast Eagles,FGCU,Florida Gulf Coast,
2229,Florida International Panthers,FIU,Florida International,
52,Florida State Seminoles,FSU,Florida State,
2230,Fordham Rams,FOR,Fordham,
278,Fresno State Bulldogs,FRES,Fresno State,
231,Furman Paladins,FUR,Furman,
2241,Gardner-Webb Runnin' Bulldogs,GWEB,Gardner-Webb,
2244,George Mason Patriots,GMU,George Mason,
45,George Washington Revolutionaries,GW,George Washington,
46,Georgetown Hoyas,GTWN,Georgetown,
61,Georgia Bulldogs,UGA,Georgia,
290,Georgia Southern Eagles,GASO,Georgia Southern,
2247,Georgia State Panthers,GAST,Georgia State,
59,Georgia Tech Yellow Jackets,GT,Georgia Tech,
2250,Gonzaga Bulldogs,GONZ,Gonzaga,
2755,Grambling Tigers,GRAM,Grambling,
2253,Grand Canyon Lopes,GCU,Grand Canyon,
2739,Green Bay Phoenix,GB,Green Bay,
2261,Hampton Pirates,HAMP,Hampton,
108,Harvard Crimson,HARV,Harvard,
62,Hawai'i Rainbow Warriors,HAW,Hawai'i,
2272,High Point Panthers,HPU,High Point,
2275,Hofstra Pride,HOF,Hofstra,
107,Holy Cross Crusaders,HC,Holy Cross,
2277,Houston Christian Huskies,HCU,Houston Christian,
248,Houston Cougars,HOU,Houston,
47,Howard Bison,HOW,Howard,
85,IU Indianapolis Jaguars,IUIN,IU Indianapolis,
304,Idaho State Bengals,IDST,Idaho State,
70,Idaho Vandals,IDHO,Idaho,
356,Illinois Fighting Illini,ILL,Illinois,
2287,Illinois State Redbirds,ILST,Illinois State,
2916,Incarnate Word Cardinals,UIW,Incarnate Word,
84,Indiana Hoosiers,IU,Indiana,
282,Indiana State Sycamores,INST,Indiana State,
314,Iona Gaels,IONA,Iona,
2294,Iowa Hawkeyes,IOWA,Iowa,
66,Iowa State Cyclones,ISU,Iowa State,
2296,Jackson State Tigers,JKST,Jackson State,
294,Jacksonville Dolphins,JAX,Jacksonville,
55,Jacksonville State Gamecocks,JVST,Jacksonville State,
256,James Madison Dukes,JMU,James Madison,
140,Kansas City Roos,KC,Kansas City,
2305,Kansas Jayhawks,KU,Kansas,
2306,Kansas State Wildcats,KSU,Kansas State,
338,Kennesaw State Owls,KENN,Kennesaw State,
2309,Kent State Golden Flashes,KENT,Kent State,
96,Kentucky Wildcats,UK,Kentucky,
99,LSU Tigers,LSU,LSU,
2325,La Salle Explorers,LAS,La Salle,
322,Lafayette Leopards,LAF,Lafayette,
2320,Lamar Cardinals,LAM,Lamar,
2330,Le Moyne Dolphins,LEM,Le Moyne,
2329,Lehigh Mountain Hawks,LEH,Lehigh,
2335,Liberty Flames,LIB,Liberty,
288,Lipscomb Bisons,LIP,Lipscomb,
2031,Little Rock Trojans,LR,Little Rock,
299,Long Beach State Beach,LBSU,Long Beach State,
112358,Long Island University Sharks,LIU,Long Island University,
2344,Longwood Lancers,LONG,Longwood,
309,Louisiana Ragin' Cajuns,UL,Louisiana,
2348,Louisiana Tech Bulldogs,LT,Louisiana Tech,
97,Louisville Cardinals,LOU,Louisville,
2350,Loyola Chicago Ramblers,LUC,Loyola Chicago,
2352,Loyola Maryland Greyhounds,L-MD,Loyola Maryland,
2351,Loyola Marymount Lions,LMU,Loyola Marymount,
311,Maine Black Bears,ME,Maine,
2363,Manhattan Jaspers,MAN,Manhattan,
2368,Marist Red Foxes,MRST,Marist,
269,Marquette Golden Eagles,MARQ,Marquette,
276,Marshall Thundering Herd,MRSH,Marshall,
2379,Maryland Eastern Shore Hawks,UMES,Maryland Eastern Shore,
120,Maryland Terrapins,MD,Maryland,
113,Massachusetts Minutemen,MASS,Massachusetts,
2377,McNeese Cowboys,MCN,McNeese,
235,Memphis Tigers,MEM,Memphis,
2382,Mercer Bears,MER,Mercer,
2385,Mercyhurst Lakers,MERC,Mercyhurst,
2771,Merrimack Warriors,MRMK,Merrimack,
